ActiveIntent,Utterance
find_attraction,"I would like to go to the south area please."
find_attraction,"That's a lot of choices, how about nightclubs? Can you get me a couple of phone numbers for good ones? I'm hoping to catch DJ Squalour from Ibiza!"
find_attraction,"Yes, any suggestions of museums found in the east area of town?"
find_attraction,"Can I please have the phone number and address for that place?"
find_attraction,"How about British restaurants in the Centre instead?"
find_attraction,"What's a good college to visit near the restaurant?"
find_attraction,"Any college will be fine what do you recommend? I need the phone number for whichever you pick."
find_attraction,"That is all I needed."
find_attraction,"Thanks! Can you also tell me if there are any multiple sports attractions in the center of town?"
find_attraction,"Thats ok. I really want something in the centre. How about any suggestions on a good college to visit?"
find_attraction,"Could you please get me the phone number?"
find_attraction,"Hi, I'm traveling to Cambridge soon and am looking forward to seeing some local tourist attractions."
find_attraction,"Actually, yes. We are traveling into the northern part of town."
find_attraction,"Yes, I am looking to visit the cherry hinton hall and grounds. Can I please have more information on that?"
find_attraction,"Can you help me book a table at a chinese restaurant that's in the centre of town?"
find_attraction,"Thank you. I am also looking for places to go in the same area as the restaurant."
find_attraction,"I am looking for some type of entertainment in the same area as the restaurant, please."
find_attraction,"No, just an entertainment attraction in the same area as the restaurant. Can you make a suggestion?"
find_attraction,"That sounds nice can I get their phone number, entrance fee, and address please?"
find_attraction,"Thank you. I am also looking for a park to go to."
find_attraction,"no specific area. just recommend one."
find_attraction,"Great! Please, give me the address of the park."
find_attraction,"thanks, i'm also looking for some museums."
find_attraction,"Yes, do you have any in the centre?"
find_attraction,"Anyone of those would work. Could you recommend something for me? I'll need the phone number, and address as well."
find_attraction,"What area is it in?"
find_attraction,"I would like information on pools in the north."
find_attraction,"How about Jesus Green Outdoor pool. Could I have their address and phone number."
find_attraction,"I am getting ready to go off to college. I thought while I was in town maybe I could visit one."
find_attraction,"I think I'd like to visit the centre."
find_attraction,"Great! Can I have the address, please?"
find_attraction,"It should be in the centre and be on the expensive side."
find_attraction,"Thank you. I'm also looking for a museum to go to in the same area."
find_attraction,"Yes, please. Can I get the address and phone number for the one you reccommend?"
find_attraction,"Do you have there phone number?"
find_attraction,"One more thing. Can you give me information about an attraction called Ruskin Gallery?"
find_attraction,"What is the phone number for there?"
find_attraction,"You know what? I don't need a hotel after all. I heard something about an attraction called ballare, could you give me some information about it?"
find_attraction,"That is all I need."
find_attraction,"What fun places can I visit in the East?"
find_attraction,"I don't have a preference. Which place would you recommend?"
find_attraction,"What is the entrance fee?"
find_attraction,"Hi, I am traveling to Cambridge and am super excited to see some local tourist attractions. I am looking for some suggestions on places to go in town."
find_attraction,"Perhaps I'd like to see a museum. Are there any in the centre?"
find_attraction,"Does not matter can you just recommend one please."
find_attraction,"Excellent. Can I please have they're phone number and address please?"
find_attraction,"Thanks! Can you also help me find a college to visit in town?"
find_attraction,"Can you suggest one for me?"
find_attraction,"What is the entrance fee and postcode there?"
find_attraction,"I am looking for a place to go in the centre, of type multiple sports."
find_attraction,"Is there a nightclub located in the centre instead then?"
find_attraction,"No, I just need the phone number and entrance fee for each of them."
find_attraction,"Hi, I need a moderate price range restaurant in the centre of town."
find_attraction,"I'm also looking for a place to visit within the same area as the restaurant. Do you have any recommendations?"
find_attraction,"An art museum near the restaurant sounds nice. How much is the admission price?"
find_attraction,"I am traveling to Cambridge and excited about seeing location attractions. Could you help me find a place to go, like a college?"
find_attraction,"Can you give me the entrance fee for one of the colleges in the centre?"
find_attraction,"yes. also findme primavera's phone number"
find_attraction,"Thanks. I am also looking for the Primavera. It is an attraction."
find_attraction,"Can I get their phone number please?"
find_attraction,"Thank you. I also need info on a place to go in the west. Any one will do. Just something to see."
find_attraction,"Can you recommend one and give their post code?"
find_attraction,"Hi, I am planning a trip and could use some help with a particular attraction."
find_attraction,"I'm looking for Milton Country Park."
find_attraction,"Can I get the attraction type, entrance fee, and postcode please?"
find_attraction,"Can you help me find a place to go on the east side of town where I can enjoy multiple sports? Thanks."
find_attraction,"No thanks, I'd like to call them first. Can you give me the address, phone number and entry fee for Cherry hinton village centre?"
find_attraction,"That will work, go ahead and book that."
find_attraction,"Can you find me an expensive restaurant in the north?"
find_attraction,"Wonderful. I'm also looking for a cool place to check out in the same area."
find_attraction,"I actually want to find a museum and it should be in the same area as my restaurant"
find_attraction,"Let's try for a boat type instead then"
find_attraction,"Hello, do you have any information regarding interesting theatres to visit in the centre of town?"
find_attraction,"I'm interested in one of the theatres! Can I get the entrance fee information for those?"
find_attraction,"That's okay, could you provide me with the postcode and address, please? Also, I am looking for a train leaving after 16:00 this Monday."
find_attraction,"I would also like to go to a museum."
find_attraction,"I'm fine with any area of town."
find_attraction,"I would like to give that a try. What is the entrance fee, phone number and area?"
find_attraction,"I want to know where I can go in the town centre of Cambridge."
find_attraction,"An attraction of any type would be fine as long as it's in the centre, please."
find_attraction,"Yes tell me one of those recommendations."
find_attraction,"Can you provide me the full address including postal code? Thanks."
find_attraction,"Can you please recommend one and give me their postcode and phone number?"
find_attraction,"i am also looking for places to go in town. The attraction should be in the type of park."
find_attraction,"Yes, I would like to visit a park."
find_attraction,"The area doesn't matter, can you recommend one?"
find_attraction,"Can I get the phone number and the postcode?"
find_attraction,"Yes, I would like to find a park to go to. I will need the phone number and postcode. Also, what is the entrance fee for this? Thanks!"
find_attraction,"I'm also looking for some places to go while I'm in town."
find_attraction,"I would like it to be a museum please."
find_attraction,"How about in the south?"
find_attraction,"How much is it to get in that place? And what's their postcode?"
find_attraction,"Good Morning, I am looking for a place to on the east side that has entertainment"
find_attraction,"Yes, and the postcode please!"
find_attraction,"Are there any attractions to see in town? I'm interested in going to a museum if any exist."
find_attraction,"Which is your favorite museum? If you'll get me their postcode, entrance fee, and phone number, I'll give them a call."
find_attraction,"Ok, that sounds great."
find_attraction,"Yes, I'd like to get a taxi from the hotel to the museum please."
find_attraction,"Great, I'm also looking for a swimming pool in the north. Can you find me one?"
find_attraction,"Either is fine, I just need the postcode."
find_attraction,"I'm looking for a multiple sports attraction in the area of center."
find_attraction,"No, How about a swimming pool in that area?"
find_attraction,"Thank you for the phone number. Thanks for the help!"
find_attraction,"I am sorry I mean I want a nightclub to go in the wast side of town."
